[20:05:08] очереди деталей: issues=5715, pr_merged=4089, pr_other=1405; стартовые позиции: 36/0/0
[20:05:10] issue: 48/5715 (всего 48/11209) cost=1 rem=4994
[20:05:11] issue: 60/5715 (всего 60/11209) cost=1 rem=4993
[20:05:15] issue: 72/5715 (всего 72/11209) cost=1 rem=4992
[20:05:16] issue: 84/5715 (всего 84/11209) cost=1 rem=4991
[20:05:18] issue: 96/5715 (всего 96/11209) cost=1 rem=4990
[20:05:20] issue: 108/5715 (всего 108/11209) cost=1 rem=4989
[20:05:23] issue: 120/5715 (всего 120/11209) cost=1 rem=4988
[20:05:25] issue: 132/5715 (всего 132/11209) cost=1 rem=4987
[20:05:27] issue: 144/5715 (всего 144/11209) cost=1 rem=4986, ETA~0.6ч
[20:05:30] issue: 156/5715 (всего 156/11209) cost=1 rem=4985, ETA~0.6ч
[20:05:32] issue: 168/5715 (всего 168/11209) cost=1 rem=4984, ETA~0.6ч
[20:05:34] issue: 180/5715 (всего 180/11209) cost=1 rem=4983, ETA~0.6ч
[20:05:36] issue: 192/5715 (всего 192/11209) cost=1 rem=4982, ETA~0.6ч
[20:05:38] issue: 204/5715 (всего 204/11209) cost=1 rem=4981, ETA~0.5ч
[20:05:40] issue: 216/5715 (всего 216/11209) cost=1 rem=4980, ETA~0.5ч
[20:05:42] issue: 228/5715 (всего 228/11209) cost=1 rem=4979, ETA~0.5ч
[20:05:44] issue: 240/5715 (всего 240/11209) cost=1 rem=4978, ETA~0.5ч
[20:05:49] issue: 252/5715 (всего 252/11209) cost=1 rem=4977, ETA~0.6ч
[20:05:51] issue: 264/5715 (всего 264/11209) cost=1 rem=4976, ETA~0.6ч
[20:05:55] issue: 276/5715 (всего 276/11209) cost=1 rem=4975, ETA~0.6ч
[20:05:57] issue: 288/5715 (всего 288/11209) cost=1 rem=4974, ETA~0.6ч
[20:05:59] issue: 300/5715 (всего 300/11209) cost=1 rem=4973, ETA~0.6ч
[20:06:01] issue: 312/5715 (всего 312/11209) cost=1 rem=4972, ETA~0.6ч
[20:06:04] issue: 324/5715 (всего 324/11209) cost=1 rem=4971, ETA~0.6ч
[20:06:07] issue: 336/5715 (всего 336/11209) cost=1 rem=4970, ETA~0.6ч
[20:06:10] issue: 348/5715 (всего 348/11209) cost=1 rem=4969, ETA~0.6ч
[20:06:12] issue: 360/5715 (всего 360/11209) cost=1 rem=4968, ETA~0.6ч
[20:06:15] issue: 372/5715 (всего 372/11209) cost=1 rem=4967, ETA~0.6ч
[20:06:17] issue: 384/5715 (всего 384/11209) cost=1 rem=4966, ETA~0.6ч
[20:06:20] issue: 396/5715 (всего 396/11209) cost=1 rem=4965, ETA~0.6ч
[20:06:22] issue: 408/5715 (всего 408/11209) cost=1 rem=4964, ETA~0.6ч
[20:06:24] issue: 420/5715 (всего 420/11209) cost=1 rem=4963, ETA~0.6ч
[20:06:25] issue: 432/5715 (всего 432/11209) cost=1 rem=4962, ETA~0.6ч
[20:06:27] issue: 444/5715 (всего 444/11209) cost=1 rem=4961, ETA~0.6ч
[20:06:30] issue: 456/5715 (всего 456/11209) cost=1 rem=4960, ETA~0.6ч
[20:06:32] issue: 468/5715 (всего 468/11209) cost=1 rem=4959, ETA~0.6ч
[20:06:35] issue: 480/5715 (всего 480/11209) cost=1 rem=4958, ETA~0.6ч
[20:06:37] issue: 492/5715 (всего 492/11209) cost=1 rem=4957, ETA~0.6ч
[20:06:39] issue: 504/5715 (всего 504/11209) cost=1 rem=4956, ETA~0.6ч
[20:06:41] issue: 516/5715 (всего 516/11209) cost=1 rem=4955, ETA~0.6ч
[20:06:44] issue: 528/5715 (всего 528/11209) cost=1 rem=4954, ETA~0.6ч
[20:06:46] issue: 540/5715 (всего 540/11209) cost=1 rem=4953, ETA~0.6ч
[20:06:48] issue: 552/5715 (всего 552/11209) cost=1 rem=4952, ETA~0.6ч
[20:06:50] issue: 564/5715 (всего 564/11209) cost=1 rem=4951, ETA~0.6ч
[20:06:52] issue: 576/5715 (всего 576/11209) cost=1 rem=4950, ETA~0.6ч
