[03:31:34] модель BAAI/bge-small-en-v1.5 загружена за 4с
[03:32:53] эмбеддено +2048, осталось 45408, скорость 25/с
[03:34:43] эмбеддено +4096, осталось 43360, скорость 21/с
[03:36:30] эмбеддено +6144, осталось 41312, скорость 20/с
[03:38:23] эмбеддено +8192, осталось 39264, скорость 20/с
[03:40:07] эмбеддено +10240, осталось 37216, скорость 20/с
[03:41:42] эмбеддено +12288, осталось 35168, скорость 20/с
[03:43:34] эмбеддено +14336, осталось 33120, скорость 20/с
[03:45:26] эмбеддено +16384, осталось 31072, скорость 20/с
[03:47:09] эмбеддено +18432, осталось 29024, скорость 20/с
[03:49:06] эмбеддено +20480, осталось 26976, скорость 19/с
[03:50:54] эмбеддено +22528, осталось 24928, скорость 19/с
[03:52:44] эмбеддено +24576, осталось 22880, скорость 19/с
[03:54:42] эмбеддено +26624, осталось 20832, скорость 19/с
[03:56:18] эмбеддено +28672, осталось 18784, скорость 19/с
[03:58:42] эмбеддено +30720, осталось 16736, скорость 19/с
[04:01:00] эмбеддено +32768, осталось 14688, скорость 19/с
[04:03:12] эмбеддено +34816, осталось 12640, скорость 18/с
[04:04:20] эмбеддено +36864, осталось 10592, скорость 19/с
[04:06:07] эмбеддено +38912, осталось 8544, скорость 19/с
[04:07:50] эмбеддено +40960, осталось 6496, скорость 19/с
[04:10:18] эмбеддено +43008, осталось 4448, скорость 18/с
[04:12:56] эмбеддено +45056, осталось 2400, скорость 18/с
[04:15:54] эмбеддено +47104, осталось 352, скорость 18/с
[04:16:25] эмбеддено +47456, осталось 0, скорость 18/с
[04:16:25] строю индексы HNSW + GIN...
[04:16:48] готово за 45.3 мин
